,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,creator,subjects,publisher,publicationyear
18,Physical,Horizon,BOOK,2007,12,1,Crocodiles eggs for supper and other animal tales from northern Uganda,,"Acoli African people Folklore, Tales Uganda",,
19,Physical,Horizon,BOOK,2007,12,1,Intelligence wars : American secret history from Hitler to al-Qaeda / Thomas Powers.,"Powers, Thomas, 1940 December 12-","United States Central Intelligence Agency, Intelligence service United States History 20th century, Espionage United States History 20th century, Intelligence service History 20th century","New York Review Books,",c2002.
20,Physical,Horizon,VIDEODISC,2007,12,3,Kids who rip.com. Vol. 3 [videorecording] / Action World Entertainment presents ; created and produced by Rod Parmenter.,,"Extreme sports Juvenile films, Snowboarding Juvenile films, Surfing Juvenile films, Kayaking Juvenile films, Motocross Juvenile films, Sports films, Childrens films","Topics Entertainment,",c2006.
21,Physical,Horizon,BOOK,2007,12,7,Loveless Volume 6,,"Graphic novels, Mystery comic books strips etc, Fantasy comic books strips etc, Magic Comic books strips etc, High schools Comic books strips etc, Murder Investigation Comic books strips etc, Brothers Comic books strips etc",,
22,Physical,Horizon,BOOK,2007,12,12,Poppleton in spring / Cynthia Rylant ; illustrated by Mark Teague.,"Rylant, Cynthia","Pigs Fiction, House cleaning Juvenile fiction, Bicycles and bicycling Fiction, Camping Juvenile fiction","Scholastic,",c1999.
23,Physical,Horizon,VIDEOCASS,2007,12,1,Cole Porters Can can,,"Video recordings for the hearing impaired, Feature films, Musical films",,
24,Physical,Horizon,BOOK,2007,12,3,Thug a licious an urban erotic tale,,"Erotic fiction, Suspense fiction, Rap musicians Fiction, African American basketball players Fiction",,
25,Physical,Horizon,BOOK,2007,12,1,What happened,,"Fathers and sons Fiction, Interpersonal relations Fiction, Hit and run drivers Fiction",,
26,Physical,Horizon,BOOK,2007,12,2,Growing up,,"Love stories, Glasgow Scotland Social life and customs Fiction, Teachers Scotland Glascow Fiction",,
27,Physical,Horizon,VIDEODISC,2007,12,11,buen novio A good boyfriend,,"Comedy films, Bank robberies Drama, Feature films, Police Spain Madrid Drama, Motion pictures Spanish",,
28,Physical,Horizon,BOOK,2007,12,1,Politeness / by Lucia Raatma.,"Raatma, Lucia","Courtesy Juvenile literature, Etiquette, Conduct of life","Bridgestone Books,",c2002.
29,Physical,Horizon,VIDEODISC,2007,12,7,fast and the furious,,"Video recordings for the hearing impaired, Criminal investigation Drama, Feature films, Detectives California Los Angeles Drama, Automobile racing California Los Angeles Drama",,
30,Physical,Horizon,VIDEOCASS,2007,12,5,iron giant,,"Animated films, Video recordings for the hearing impaired, Feature films, Science fiction films",,
31,Digital,OverDrive,AUDIOBOOK,2007,12,1,"The Shadow In the North: Sally Lockhart Mystery Series, Book 2 (unabridged) (Unabridged)",Philip Pullman,"Historical Fiction, Mystery, Young Adult Fiction",Books on Tape,2007
